,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI-VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,TOSCANA,UMBRIA,VENETO,Totale complessivo
Novembre_2016,6.146,7.616,16.600,360.325,47.882,47.470,1.285.256,8.962,134.747,17.214,1.946,157.122,25.932,10.547,347.763,5.727,61.226,2.542.481
Dicembre_2016,6.038,7.413,16.208,436.978,48.475,70.893,1.210.594,11.436,112.650,24.359,2.219,187.374,25.251,9.166,356.760,8.853,61.051,2.595.718
Totale_regione_2016,140.181,235.468,498.263,7.941.208,1.035.469,1.200.831,20.371.718,205.967,1.832.468,519.241,76.253,2.464.023,628.389,519.468,6.396.665,260.034,1.058.227,45.383.873
Gennaio_2017,4.797,5.440,15.585,294.169,48.958,44.538,832.644,11.311,97.510,17.073,1.152,192.569,16.763,7.576,300.773,10.241,50.756,1.951.855
Febbraio_2017,5.537,4.967,14.893,332.856,41.640,30.805,1.429.737,14.276,91.024,14.896,1.398,132.976,19.560,7.977,340.653,8.941,58.310,2.550.446
Marzo_2017,10.555,14.926,24.612,589.764,92.612,95.019,1.941.043,12.881,143.195,31.250,5.580,184.689,42.354,15.489,559.022,16.974,100.241,3.880.206
Aprile_2017,15.361,37.960,56.797,1.186.562,202.724,199.950,2.554.381,41.962,260.674,74.917,11.147,392.354,113.136,55.299,815.690,29.942,141.845,6.190.701
Maggio_2017,15.662,41.218,62.820,1.124.840,142.037,153.842,2.511.118,16.896,223.771,56.725,10.889,248.806,119.857,76.014,735.639,25.712,116.150,5.681.996
Giugno_2017,9.199,21.170,38.773,838.828,81.677,109.135,2.137.018,17.210,152.574,38.858,9.519,168.744,63.745,57.807,698.898,21.699,98.292,4.563.146
Luglio_2017,11.877,16.288,53.449,884.402,73.540,118.407,2.200.216,27.896,164.507,49.709,6.434,155.437,58.468,77.564,718.234,24.160,88.702,4.729.290
Agosto_2017,18.432,33.014,110.723,948.392,90.813,175.925,2.178.968,35.012,193.445,80.787,16.121,275.462,99.631,106.536,752.084,34.743,96.312,5.246.400
Settembre_2017,9.262,25.121,50.700,883.948,105.918,130.513,2.121.135,23.854,169.331,45.415,6.004,179.723,84.553,86.124,694.333,23.857,103.675,4.743.466
Ottobre_2017,9.391,29.549,30.688,893.041,106.721,106.788,2.326.789,30.280,150.202,31.483,5.885,238.297,69.820,49.132,652.700,20.414,116.194,4.867.374
